country,id,happinessScore,happinessRank,dystopia,GDPperCapita,socialSupport,healthyLifeExpectancy,freedom,generosity,perceptionsOfCorruption,deltaHappinessScore
Rwanda,RWA,3.408,151,0.5,0.332,0.896,0.4,0.636,0.2,0.444,-0.788
Saudi Arabia,SAU,6.371,33,2.293,1.379,1.331,0.633,0.509,0.098,0.127,0.016
Senegal,SEN,4.631,109,2.026,0.429,1.117,0.433,0.406,0.138,0.082,0.168
Serbia,SRB,5.398,78,1.905,0.975,1.369,0.685,0.288,0.134,0.043,0.978
Sierra Leone,SLE,4.571,113,2.855,0.256,0.813,0,0.355,0.238,0.053,1.006
Slovakia,SVK,6.173,39,2.165,1.21,1.537,0.776,0.354,0.118,0.014,0.121
Slovenia,SVN,5.948,51,1.522,1.219,1.506,0.856,0.633,0.16,0.051,-0.05
Somalia,SOM,4.982,98,2.961,0,0.712,0.115,0.674,0.238,0.282,
South Africa,ZAF,4.724,105,1.368,0.94,1.41,0.33,0.516,0.103,0.056,-0.348
South Korea,KOR,5.875,57,1.98,1.266,1.204,0.955,0.244,0.175,0.051,0.158
South Sudan,SDS,3.254,154,1.691,0.337,0.608,0.177,0.112,0.224,0.106,
Spain,ESP,6.31,36,1.892,1.251,1.538,0.965,0.449,0.142,0.074,-0.248
Sri Lanka,LKA,4.471,116,0.624,0.918,1.314,0.672,0.585,0.307,0.05,0.265
Sudan,SDN,4.139,137,1.75,0.605,1.24,0.312,0.016,0.134,0.082,-0.306
Sweden,SWE,7.314,9,2.217,1.355,1.501,0.913,0.659,0.285,0.383,-0.112
Switzerland,CHE,7.487,5,2.32,1.42,1.549,0.927,0.66,0.256,0.357,-0.037
Syria,SYR,3.462,150,1.244,0.689,0.382,0.539,0.088,0.376,0.144,-1.401
Taiwan Province of China,TWN,6.441,26,2.136,1.365,1.436,0.857,0.418,0.151,0.078,0.554
Tajikistan,TJK,5.352,80,2.248,0.474,1.179,0.598,0.503,0.214,0.136,0.677
Tanzania,TZA,3.303,153,0.628,0.455,0.991,0.381,0.481,0.27,0.097,-0.366
Thailand,THA,6.072,46,1.902,1.016,1.417,0.707,0.637,0.364,0.029,0.3
Togo,TGO,3.999,139,2.319,0.259,0.474,0.253,0.434,0.158,0.101,1.191
Trinidad & Tobago,TTO,6.192,38,2.148,1.223,1.492,0.564,0.575,0.171,0.019,-0.505
Tunisia,TUN,4.592,111,1.722,0.9,0.906,0.69,0.271,0.04,0.063,-0.504
Turkey,TUR,5.483,74,1.729,1.148,1.38,0.686,0.324,0.106,0.109,0.208
Turkmenistan,TKM,5.636,68,1.918,1.016,1.533,0.517,0.417,0.199,0.037,-0.931
Uganda,UGA,4.161,135,1.742,0.322,1.09,0.237,0.45,0.259,0.061,-0.297
Ukraine,UKR,4.103,138,0.927,0.793,1.413,0.609,0.163,0.187,0.011,-1.03
United Arab Emirates,ARE,6.774,20,2.096,1.467,1.296,0.776,0.67,0.284,0.186,-0.208
United Kingdom,GBR,6.814,19,1.912,1.301,1.559,0.883,0.533,0.354,0.272,-0.16
United States,USA,6.886,18,2.227,1.398,1.471,0.819,0.547,0.291,0.133,-0.315
Uruguay,URY,6.379,31,2.147,1.093,1.459,0.771,0.625,0.13,0.155,0.374
Uzbekistan,UZB,6.096,44,1.877,0.719,1.584,0.605,0.724,0.328,0.259,0.874
Venezuela,VEN,4.806,102,1.442,0.996,1.469,0.657,0.133,0.056,0.052,-2.167
Vietnam,VNM,5.103,95,1.447,0.715,1.365,0.702,0.618,0.177,0.079,-0.258
Yemen,YEM,3.355,152,1.106,0.442,1.073,0.343,0.244,0.083,0.064,-1.224
Zambia,ZMB,4.377,125,1.667,0.562,1.047,0.295,0.503,0.221,0.082,-0.617
Zimbabwe,ZWE,3.692,144,1.356,0.357,1.094,0.248,0.406,0.132,0.099,-0.278
